date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:48:43	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2023%20Apr%202023%2018:48:43%20GMT	http://Jiangxi:5426494@be-btc.com/	C:/Users/Sukhr/Desktop/CryptoStake3/be-btc.com/index.html	(from )
11:48:44	13704/13704	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Apr%202023%2018:48:44%20GMT	https://be-btc.com/login.php	C:/Users/Sukhr/Desktop/CryptoStake3/be-btc.com/login.html	(from http://Jiangxi:5426494@be-btc.com/)
11:48:44	120912/120912	---M-Z	200	added ('OK')	text/css	date:Wed,%2009%20Feb%202022%2022:21:42%20GMT	https://be-btc.com/css/bs_min.css	C:/Users/Sukhr/Desktop/CryptoStake3/be-btc.com/css/bs_min.css	(from https://be-btc.com/login.php)
11:48:44	97166/97166	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2008%20Feb%202022%2013:29:00%20GMT	https://be-btc.com/js/jquery_min.js	C:/Users/Sukhr/Desktop/CryptoStake3/be-btc.com/js/jquery_min.js	(from https://be-btc.com/login.php)
11:48:45	36924/36924	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2008%20Feb%202022%2013:55:20%20GMT	https://be-btc.com/js/bs_min.js	C:/Users/Sukhr/Desktop/CryptoStake3/be-btc.com/js/bs_min.js	(from https://be-btc.com/login.php)
11:48:45	74247/74247	---M-Z	200	added ('OK')	text/css	date:Tue,%2008%20Feb%202022%2014:06:14%20GMT	https://be-btc.com/layui/css/layui.css	C:/Users/Sukhr/Desktop/CryptoStake3/be-btc.com/layui/css/layui.css	(from https://be-btc.com/login.php)
11:48:45	280871/280871	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2008%20Feb%202022%2014:07:42%20GMT	https://be-btc.com/layui/layui.all.js	C:/Users/Sukhr/Desktop/CryptoStake3/be-btc.com/layui/layui.all.js	(from https://be-btc.com/login.php)
11:48:45	24445/24445	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Feb%202022%2007:26:08%20GMT	https://be-btc.com/favicon.png	C:/Users/Sukhr/Desktop/CryptoStake3/be-btc.com/favicon.png	(from https://be-btc.com/login.php)
11:48:46	295090/295090	---M--	200	added ('OK')	image/jpeg	date:Tue,%2008%20Feb%202022%2014:24:34%20GMT	https://be-btc.com/image/4.jpeg	C:/Users/Sukhr/Desktop/CryptoStake3/be-btc.com/image/4.jpg	(from https://be-btc.com/login.php)
11:48:46	5693/5693	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Apr%202023%2002:52:05%20GMT	https://be-btc.com/image/logolefttop.png	C:/Users/Sukhr/Desktop/CryptoStake3/be-btc.com/image/logolefttop.png	(from https://be-btc.com/login.php)
11:48:46	639/639	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Feb%202022%2006:58:38%20GMT	https://be-btc.com/image/rand/gen11.png	C:/Users/Sukhr/Desktop/CryptoStake3/be-btc.com/image/rand/gen11.png	(from https://be-btc.com/login.php)
11:48:47	13869/13869	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Apr%202023%2018:48:47%20GMT	https://be-btc.com/forgetpass.php	C:/Users/Sukhr/Desktop/CryptoStake3/be-btc.com/forgetpass.html	(from https://be-btc.com/login.php)
11:48:48	33432/33432	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Apr%202023%2018:48:47%20GMT	https://be-btc.com/register.php	C:/Users/Sukhr/Desktop/CryptoStake3/be-btc.com/register.html	(from https://be-btc.com/login.php)
11:48:48	476/476	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Feb%202022%2007:00:00%20GMT	https://be-btc.com/image/rand/gen19.png	C:/Users/Sukhr/Desktop/CryptoStake3/be-btc.com/image/rand/gen19.png	(from https://be-btc.com/forgetpass.php)
11:48:48	443/443	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Feb%202022%2006:58:56%20GMT	https://be-btc.com/image/rand/gen13.png	C:/Users/Sukhr/Desktop/CryptoStake3/be-btc.com/image/rand/gen13.png	(from https://be-btc.com/register.php)
